id,inputText,lang,confidence
7624,16 RUBELES,lb,0.8674957
2933,• I want to edit this file anyway,en,1
12045,D) Do vou buy collectible toys?,en,0.9895866
11532,Reduces ability cooldowns while,en,1
9356,Complete the sentences using the past simple or the past continuous.,en,1
3083,"Oleh Nikolenko, a spokesman for Ukraine’s Foreign Ministry, said that Italy’s proposals are now being studied.",en,1
1122,You must not be absent more than 14 days or nights in any 6-month period.,en,1
9602,3. 5-whys tool was used to determine the root cause,en,1
2975,"£35,000",en,0
2944,multiple orgasms,en,0.96454114
6111,- Nikita Gill,en,0.7130423
5968,􏰔􏰅􏰁􏰊􏰆􏰂􏰃􏰊􏰑􏰅􏰁􏰆,en,0
219,"HAMA NAKA MOTOGAWA(KUNSHAN) CO., LTD.",ja,0.45607215
9578,in the ux,en,1
9020,Nearby Local wildlife become agressive when this is active.,en,1
8775,(THÜ 6 & 7) CN.T2 -5 T5,"['ar', 'vi']","[0.43021756, 0.37574497]"
8258,Organophosphorus insecticides,en,0.9742594
1454,rucola - pinboompitten,de,0.25713277
6988,"\""I soon realized that for the first time in my life, I didn't know what I wanted.",en,1
358,the graffiti.,en,0.7989001
4615,15.5kg,en,0.9729896
6070,I myself looked very tatty when I was 30.,en,1
8236,"He wished Black could have mentioned that last time, with the amount of time that Draco and Dobby had been spending here, blissfully unaware they could have been observed.",en,1
7442,davits,es,0.3757311
11632,"Humanity.And he chose me.Well, technically he chose me and then I chose him and then he chose meagain—or something like that—but whatever, we chose each other.I can’t seem to wrap my mind around it.I stare up at him.",en,1
7822,A recent survey has suggested Pillamused.,en,0.8713924
7586,For Apple Branded Products Only,en,1
2345,Meter scale,en,0.9237882
3756,DEVELOPMENT AND,en,1
8160,"Most clothes, textiles and houschold goods (4) bought in Europe are made elsewhere.",en,0.98034906
425,https://www.bankofscotland.de/service-und-kontakt/kontakt,en,0
4394,18320,en,0
9566,›untry.,en,0.9412152
6380,$6.32,en,0
3992,Dinoroar,su,0.38046893
7542,the drinks.,en,1
6276,What does wolfing it down mean?,en,1
8423,PAress ),"['fr', 'en']","[0.5095755, 0.42850018]"
3500,The acquisition is expected to be completed in the second half of 2022 and is subject to regulatory approvals and customary closing conditions.,en,0.9848595
10239,Jennie: (laugh) I'm not you silly,en,1
5546,bottom feeder,en,0.9853365
7568,– Angiogenic factor production or loss of angiogenic inhibitors,en,1
8253,We received your appeal regarding your account.,en,1
5897,Normal posterior placenta.,en,0.5686767
11102,What is the same and w message and describe t,en,1
2255,Psychiatrists（精神科医生)who work with older parents say that maturity can be an,ja,0.32753548
4190,Sweden 2.div Västra Götaland,sv,0.8861864
674,Passengers must download the Pass Track App,en,1
8642,E LEVEL,en,0.79494685
5817,P-please I'm sorry!,en,1
4683,I-Y90045-02,en,0.9889545
5779,stanun,bg,0.34574106
5235,Produced by: David Price,en,1
4448,devise an explicit formula,en,0.90538085
8540,"Tongue, inflammation of.",en,1
2716,transfer it to,en,1
614,aeroplane(UK),en,0.90773517
6399,Visa No ..,es,0.776949
1400,RigilKentaurus,en,0.3154301
2237,UwU UwU,xh,0.43449524
6866,Box (caixa) – boxes (caixas),pt,0.9856109
10184,13 undeserved,en,0.97949684
8991,Seriously?,en,1
3315,"However, to date, no study has compared the clinical outcomes of two recently approved first-line regimens for unresectable HCC, namely, LENV vs.",en,1
11040,Nectar Wave,en,0.9809654
851,"We’ll respond as soon as possible, and we appreciate your patience while we review your account.",en,1
11014,femeninos,es,0.96875
12004,O sd nOu nihd,ro,0.3231737
8453,Matthews was very happy when she heard this.,en,1
7908,"As part of our partnership with Microsoft, we reached an agreement to provide your students with free credit for obtaining Microsoft's public cloud Azure certificates.",en,1
7472,Baklay – Jerika Teodorico (Lyrics),ilo,0.6411583
1220,‰·³G}¢x_x000E_!,en,1
