id,text,lang_code
1,J'examine le programme québécois.,fr
2,Solo io tra la mia famiglia la bellezza in essa.,it
3,Analisis kopi yang Marina adukan.,ms
4,إنها تحبك كثيرًا.,ar
5,Comem-se algas no seu país?,pt
6,高社长不行。,zh_cn
7,El negocio aún va bien.,es
8,ก็ได้ ๆ,th
9,Sabes que instrumento tocaba?,es
10,Tôi đổ nước khắp bàn.,vi
11,10 tahun setelah mendirikan perusahaan.,id
12,Quem pagará a factura?,pt
13,광고성 블로그가 아니라서 믿을 만해.,ko
14,Le ofrecemos posicionamiento Google Viladrau.,es
15,โอ้ ข้างไหน,th
16,I'm incredibly sick of living.,en
17,Eu queria te abraçar tanto.,pt
18,Quindi vi ringrazio per il fortissimo supporto qui.,it
19,去你们家吧。,zh_cn
20,Можно доехать только на такси?,ru
21,سوف أغادر.,ar
22,Massage kann Muskelkrämpfe verringern.,de
23,Acho a gramática francesa difícil.,pt
24,I mean what's your age?,en
25,赶你走之前。,zh_cn
26,セレブよね!,ja
27,Ich habe eine posttraumatische Belastungsstörung.,de
28,비대면 콘서트를 진행하는 거로 해요.,ko
29,Eu gostei muito da festa.,pt
30,أنت لست مثيرا للشفقة.,ar
31,ふたつめ。,ja
32,อะไรดีล่ะ,th
33,Les médias manquent de professionnalisme.,fr
34,運転席が高い。,ja
35,強すぎる?,ja
36,¡Pide un presupuesto personalizado!,es
37,怖いです。,ja
38,Ihre Email wurde geändert.,de
39,다음 지하철역 근처에서 내리자.,ko
40,Словесный ответ не будет уместным.,ru
41,مرحباً! انظر! لقد فعلتها!,ar
42,基本を大切に。,ja
43,Nouveau client de Bitdefender ?,fr
44,该吃早饭了。,zh_cn
45,그래서 무릎이 깨진 것 같아요.,ko
46,Ti riconsegneremo senza alcun addebito a tuo piacimento.,it
47,Tôi đã định đón taxi?,vi
48,Kemudian TV menjadi dingin kembali.,id
49,盗まれます。,ja
50,미리 가서 기다리는 게 낫지.,ko
51,I'll do what I've promised.,en
52,Bir erkek güzel bir kadına bu yüzden yaklaşmaz.,tr
53,Demolitela e metterete in pericolo l'unione monetaria.,it
54,宿題やった?,ja
55,Ne abbiamo sentito parlare stamattina.,it
56,彼次第です。,ja
57,Я здесь для обследования.,ru
58,Tom meninggalkan rumah dengan tergesa-gesa.,id
59,That's what we'll do today.,en
60,"Mas, lamentavelmente, ao falta informação.",pt
61,ขอน้ำส้ม,th
62,لقد كنت أفكر في مقلب.,ar
63,Todos eles confessaram sob tortura.,pt
64,Выберите Вид.,ru
65,영국 수입 회사 어떻게 찾나요?,ko
66,Tôi không thể bơi đủ.,vi
67,И у них есть покорность.,ru
68,Irak Savaşı'nın destekçisiyim ve her zaman da öyleydim.,tr
69,I loved my wife deeply.,en
70,看起来很棒。,zh_cn
71,We prefer coffee to tea.,en
72,Shares Dieser Inhalt ist passwortgeschützt.,de
73,Что есть в меню 'Юксамнангмьён'?,ru
74,누가 봐도 스트라이크 타이밍은 아니었잖아.,ko
75,Division entah mengapa mengekori saya.,ms
76,Un paiement à effectuer ?,fr
77,Presiden akan menguruskannya dalam kenyataannya.,ms
78,내일은 좀 쉬면서 일 해요.,ko
79,Aku harus memakai tabir surya.,id
80,Stop being such a baby.,en
81,We don't need the violinist.,en
82,Définir l'adresse du serveur .,fr
83,Tom vai precisar de ajuda.,pt
84,Aussi un excellent investissement locatif!,fr
85,Wird Auto über Cliff explodieren?,de
86,"Awak bukan... betul-betul mempertimbangkannya, bukan?",ms
