text,label_true,label_pred
"""Saat ini pelayanan di dua puskesmas masih dilayani di puskesmas lainnya yang terdekat, jadi tidak mengganggu pelayanan kesehatan maupun upaya kita Tracing, blocking, dan melakukan Swab,"" jelas Heroe.",id,id
"Isuzu Panther dengan pelat nomor BG 1152 OK tersebut, menurut keterangan warga setempat, melaju dari arah Mariana menuju Plaju.",id,id
"“Aspirasi Utusan dan Ang­kasa akan sentiasa berke­sinambungan dan kita akan teruskan pada masa-masa hadapan,” katanya dalam majlis yang berlangsung di Dewan Besar Ibu Pejabat Kumpulan Utusan di sini hari ini.",ms,ms
Dalam postingan tersebut ia pun membagikan foto tengah mencoret-coret kertas putih bersama musisi dan komposer Andi Rianto.,id,id
"""Jikalau utang mayit tidak bisa dilunasi ketika ia meninggal, karena tidak adanya harta padanya, atau karena sebab lain, maka dianjurkan bagi ahli waris untuk melunasinya.",id,id
Labuan pula dulunya di bawah pentadbiran Kerajaan Negeri Sabah.,ms,ms
"Masuki New Normal, BUMN Ini Sediakan Jasa Audit Keamanan dan…",id,id
"Menurutnya, Kementerian Agama akan terus persiapkan lulusan madrasah sebagai SDM unggul.",id,id
“Saya siap dihubungi kapan saja untuk hal hal yang urgent untuk selanjutnya saya akan berkoordinasi dengan para dirjen “ tegasnya.,id,id
"Kala itu, keponakannya yang bernama Tama, menangis lantaran alat rajut miliknya dibuang sang ibu.",id,id
"Seluruh kasus kematian baru itu terjadi di pusat wabah, Provinsi Hubei.",id,id
"Sementara itu, pasukan Ukraine akan melakukan operasi pencarian serpihan mayat dan harta benda mangsa di lokasi nahas dan menyerahkannya kepada Belanda.",ms,ms
"“Kita tunggu dari Wisma Atlet, kita serahkan di sana yang berkompeten.",id,id
"Sebelum itu, beliau menyerahkan bekalan penjagaan kesihatan bernilai RM3,964 kepada Rumah Seri Kenangan, yang dihuni 85 warga lama.",ms,ms
"""Menurut saya kehadiran GN di acara deklarasi KAMI nampaknya tidak berkaitan dengan panggung politik hajatan pemilu 2024,"" kata Satyo dalam pesan singkatnya kepada jpnn, Rabu (19/8).",id,id
Adegan itu melibatkan lagak ngeri motosikal yang saya tunggang menggantikan lakonan Farid Kamil.,ms,ms
"Rekod Kementerian Kesihatan pada 30 Januari lalu yang melaporkan lebih 280 contoh darah pesakit disyaki denggi negatif kepada antibodi Zika, seolah-olah mengiyakan andaian tersebut.",ms,ms
