id,inputText,lang,confidence
1,"shade,",en,1
2,Other Charges,en,1
3,versican,mt,1
4,dustbins,"['en', 'sv']","[0.5529535, 0.4310284]"
5,priests,en,1
6,1561.,en,0
7,irritating,en,1
8,"Really sorry, a charger is not included. (we didn't have a spare)",en,1
9,She heard the carriage drive away as she walked upstairs(楼上).,en,1
10,Montcalm,en,0.9830287
11,clawing,en,0.9787216
12,off-kilter,en,0.8371066
13,Gongmen,zh-CN,0.96416885
14,Vice-Premier,en,0.5855446
15,hardy,en,1
16,Disjunctive,en,1
17,"Until the Covid-1° pandemic, though, you wouid find thaf many people needing to attend a meeting remotely would be calling from a real conference 100% full of their teammates.",en,1
18,know.,en,1
19,Office Supplies,en,1
20,menial,en,0.9175693
21,rupiah,en,0.7152406
22,Tokyo Olympic,en,0.40011492
23,"\""Multicultural\""",en,1
24,Jan leads Leiden University’s interfaculty programme on Global Transformations and Governance Challenges (GTGC).,en,0.97720504
25,The binding war starts.,en,1
26,ISOPROPYL MET-,en,0.9177275
27,Virtual Trackpad Acceleration,en,1
28,11.7 3.8,en,0
29,"What is your understanding of \""minimalism\""?",en,1
30,Postgraduates,en,1
31,fawn,en,1
32,Whisky—2.0oz,en,0.94421333
33,This resin is mainly used in adhesives as either the base resin or as a modifying resin in the formulation of polychloroprene cements.,en,0.96165574
34,"Additionally, all QAIS students in Grade 4-12 are required to have a MacBook laptop computer (or equivalent), with minimum 250GB hard drive, running OS X Snow Leopard (or more recent OS); children of staff may purchase the computer individually, or through the school.",en,1
35,"'ifcfg-emp103s0f2\"" 15L, 321C written [root@Hikvision0S network-scriptsll service network restart",en,1
36,trudging,en,1
37,Search for Volumes,en,1
38,TRK,en,0.84745765
39,joint-stock,en,1
40,waging,en,1
41,brilliantly,en,1
42,Coercion,en,1
43,REYNOLDS,en,0.7265474
44,shank,en,1
45,"￥14,850",en,0
46,"Examples of cross-contamination could include wheat flour blown onto other surfaces, or use of the same utensils previously used for dairy products, without adequate cleaning in between.",en,1
47,Renaissance,en,0.98955613
48,abandonment,en,1
49,Ofsted,en,1
50,CUMMINS,en,1
51,Florw,en,0.88156444
52,B. at,en,0.96599334
53,Bathroom Doorway: 47185,en,1
54,"If you remain in New Zealand without a valid visa, you will be unlawfully in New Zealand and will become liable for deportation.",en,1
55,"Salomon took 20,001 shares and the other 6 members took one share each.",en,1
56,"shake, clap, stamp, turn, fly, listen, sit.",en,1
57,insurgents,en,1
58,22 0 4 6 8 4 3 59.95 6.52 19 0 1 8 9 1 1 60.32 6.74 80 0 3 38 33 6 2 57 12.35 54 2 9 19 1 9 5 3 59.56 6.56 42 0 4 1 8 1 8 2 1 52.07 9.17 82 5 20 48 9 0 2 58.12 1 1 .,en,0
59,KOMARCHE,bg,0.7120199
60,[FRAT!,en,1
61,Universiti Putra Malaysia,ms,0.76210785
62,forage,en,0.98955613
63,• Hyper-V (.vhdx),"['en', 'hi']","[0.61022824, 0.33635253]"
64,oxygen.,en,1
65,𡘾,zh-CN,1
66,rebelled,en,1
67,Jerseys,en,0.8521974
68,/bite,en,1
69,variations,en,1
70,Claustrum,la,1
71,BTMS 50,en,0.6651704
72,chessmen,en,0.6376736
73,Cash/Change,en,0.9104006
74,pledging,en,1
75,Jumbo tiger prawn with yuzu pepper,en,0.9863925
76,Astra,en,0.8603427
77,FAX: ORIGIN/DES FLIGHT CLASS DATE TIME ARRTIME PERIOD STATUS ALLOW,en,1
78,gold blanket.,en,0.92897844
79,HYDRA B5,en,0.9503867
80,You'll have a chance to learn from professors who lead in their fields and to benefit from the resources of a major international institution.,en,1
81,AUSTAR Valida-,is,0.3606783
82,"\""How many years have you been a taxi driver?\""",en,1
83,3.permanent,en,1
84,"ago, I realized I had given the entire lecture with my T-shirt inside out.",en,1
85,Desmoid,en,0.8715513
86,J Neurol 1996;243:579–584.,en,0.9458904
87,"v) As technical advisor to PKNS for cracks repair for 20 blocks of 6 storey low cost houses at Section 7, Bandar Baru Bangi, Selangor Darul Ehsan",en,0.46389106
88,Exosome-Based Cancer Therapy: Implication for Targeting Cancer Stem Cells.,en,1
89,O KHP,ru,0.6024566
90,*PIL',en,0.76692706
91,Ambulance fee from the shore to isolation area Motor boat from the ship at outer anchorage to ferry,en,1
92,silhouetted,en,1
93,14.0% Recycled Post-Consumer Polyester,en,1
94,pampered,en,1
95,Sticky Pads Trap,en,1
96,Cassowary,yo,0.26693228
97,Absentia,en,0.98689383
98,Kitchen waste,en,0.90719646
99,are common hobbies,en,1
100,Constructor,en,0.97905755
101,vacuum,"['en', 'la']","[0.6371885, 0.3628115]"
102,Temper blast,en,0.97294796
103,Authentic playability,en,1
104,stylists,en,0.9364238
105,Esteem,nl,0.45279166
106,Audit firms are required to have policies in place to monitor the length of time that key members of staff are associated with recurring engagements.,en,1
107,immedi- acy,en,0.96738815
108,"nodule,",en,1
109,vibration,en,1
110,provoked,en,1
111,Hong Kong sends 198 refugees home.Hong Kong (Reuters)Hong Kong yesterday began repatriating Vietnamese refugees who had fled to the British colony from their temporary homes in China.,en,0.9767756
112,𝚃𝚘𝚍𝚊𝚢 𝚒𝚜 𝚖𝚢 𝚋𝚒𝚛𝚝𝚑𝚍𝚊𝚢！,en,1
113,"First off, thank you to everyone who joined our Positive Parenting session in English last night, co-hosted by our Learning Support Coordinator, Ms.",en,1
114,agrarian,en,1
115,Barometric Pressure (mbar),en,0.9477048
116,I felt quite __________ with my day’s work.,en,1
117,"For example, pure and undeformed magnesium and beryllium, having one crystal",en,1
118,Manage Dashboard,en,0.9687634
119,●Requires a stable first excited state.,en,1
120,L).,en,0.76047117
121,Spirometry,en,1
122,Polish,en,0.9869792
123,ice hockey,en,0.9392822
124,social semiotic and communication can only take place effectively if all the users,en,1
125,Full details of how to make the payment are available in the UCL portal.,en,1
126,F9.,bg,1
127,instantiate,en,1
