labels,text,translated_text
de,Hab für den Preis mehr erwartet.,가격이 더 기대됩니다.
ru,"Письмо в письменном виде убийцы , друзья мои !","범인의 글에 편지를, 친구들아!"
hi,जापानियों ने रैंकिंग दृश ् य और स ् थानों के पारंपरिक चीनी अभ ् यास को अपनाया है और korakian आधिकारिक रूप से जापान के तीन बड ़ े बाग ़ हैं .,"일본인들은 전망과 위치를 순위화하는 전통적인 중국 관행을 채택했으며, 코라키안은 공식적으로 일본의 3대 정원입니다."
ar,"وفي عام 1853 , كان القصد من قصر دولما - bahce ( dolmabahce saraye ؛ dolmabahce caddesi , الهاتف 212 / 258-5544 ) هو بيان جريء من ايمان السلطان في مستقبل امبراطوريته , ولكن بدلا من ذلك . لقد تحولت الى نصب ل حماقة وال التبذير .","1853년 Dolma-bahce 궁전(Dolmabahce Saraye; Dolmabahce Caddesi, Tel. 212/258-5544)은 그의 제국의 미래에 대한 술탄의 믿음을 대담하게 진술하기 위해 의도되었지만 대신에. 그것은 어리석음과 사치의 기념비가 되었습니다."
vi,"Các nhà chức trách y tế anh , trong 1995 nguyên tắc của họ ( lý luận uống rượu ) , nói rằng những người uống rất ít hoặc không ở tất cả và đang trong một nhóm tuổi tại nguy cơ cao đối với bệnh tim nên cân nhắc khả năng mà ánh sáng uống rượu có thể lợi ích sức khỏe của họ-Không .",영국 보건 당국은 1995년 지침(음주 추론)에서 술을 거의 또는 전혀 마시지 않고 심장병 위험이 높은 연령대에 속한 사람들은 가벼운 음주가 건강에 도움이 될 가능성을 고려해야 한다고 말합니다.
ur,ان کے امیر اور آسودہ حال لوگوں نے کہا کہ یہ سب اچھا ہے ۔,그들의 부유하고 번영하는 사람들은 이것이 모두 좋다고 말했습니다.
sw,"Kwa sababu mchanganyiko wa scr na fgd ni kuwa na uondoaji wa zebaki wa juu kutokana na mifumo ya scr na fgd , huduma hizo ambazo ni za vifaa ni kuongeza mifumo ya aci .",scr과 fgd의 조합은 scr과 fgd 시스템으로 인해 더 높은 수은 제거율을 갖기 때문에 장비가 되는 서비스는 aci 시스템을 늘리는 것입니다.
pl,George Zimmerman uznany za niewinnego morderstwa Trayvona Martina,"조지 짐머만, 트레이본 마틴 살해 무죄 판결"
de,"Sehr enttäuschend, zwei der drei Leichtmittel, die bisher benutzt wurden, flackern nach vier Wochen nur noch.",매우 실망스러운 점은 지금까지 사용된 3개의 조명 에이전트 중 2개가 4주 후에만 깜박입니다.
it,Il primo ordine di JAL da Airbus è un colpo per Boeing,Airbus의 JAL 첫 주문은 Boeing의 쿠데타입니다.
es,no talla bien. qeda pequeño y encima no se puede guardar porque noy funda protectora del pegamento,잘 안 잘린다 크기가 작고 접착 보호 커버가 없기 때문에 보관할 수 없습니다.
vi,"Cung điện hoàng gia ( Kyoto Gosho ) và các biệt thự hoàng và ly imperial là những điểm đến của bất cứ ai có một chút quan tâm đến kiến trúc nhật bản , thiết kế , và thẩm mỹ .","황궁(교토 고쇼)과 황실 및 황실 별장은 일본 건축, 디자인 및 미학에 약간의 관심이 있는 사람이라면 누구나 방문할 수 있는 곳입니다."
